Java HotSpot(TM) 64-Bit Server VM (25.191-b12) for windows-amd64 JRE (1.8.0_191-b12), built on Oct  6 2018 09:29:03 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16654768k(10620356k free), swap 19145136k(10670688k free)
CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
5.892: [GC (Allocation Failure) [PSYoungGen: 262144K->43496K(305664K)] 262144K->230117K(1005056K), 0.0765619 secs] [Times: user=0.17 sys=0.20, real=0.07 secs] 
11.917: [GC (Allocation Failure) [PSYoungGen: 305640K->43504K(305664K)] 492261K->479517K(1005056K), 0.0748885 secs] [Times: user=0.51 sys=0.09, real=0.07 secs] 
11.993: [Full GC (Ergonomics) [PSYoungGen: 43504K->0K(305664K)] [ParOldGen: 436013K->477298K(699392K)] 479517K->477298K(1005056K), [Metaspace: 4101K->4101K(1056768K)], 0.3540596 secs] [Times: user=1.99 sys=0.09, real=0.35 secs] 
18.410: [Full GC (Ergonomics) [PSYoungGen: 262144K->32203K(305664K)] [ParOldGen: 477298K->698979K(699392K)] 739442K->731183K(1005056K), [Metaspace: 4115K->4115K(1056768K)], 0.2871946 secs] [Times: user=1.77 sys=0.13, real=0.28 secs] 
23.866: [Full GC (Ergonomics) [PSYoungGen: 262144K->252409K(305664K)] [ParOldGen: 698979K->698978K(699392K)] 961123K->951388K(1005056K), [Metaspace: 4137K->4137K(1056768K)], 0.4533562 secs] [Times: user=3.03 sys=0.02, real=0.45 secs] 
24.521: [Full GC (Ergonomics) [PSYoungGen: 262144K->261400K(305664K)] [ParOldGen: 698978K->698978K(699392K)] 961122K->960379K(1005056K), [Metaspace: 4137K->4137K(1056768K)], 0.3260040 secs] [Times: user=2.20 sys=0.00, real=0.32 secs] 
24.857: [Full GC (Ergonomics) [PSYoungGen: 262144K->261671K(305664K)] [ParOldGen: 698978K->698978K(699392K)] 961122K->960650K(1005056K), [Metaspace: 4137K->4137K(1056768K)], 0.3248425 secs] [Times: user=2.52 sys=0.00, real=0.32 secs] 
25.187: [Full GC (Ergonomics) [PSYoungGen: 262144K->261837K(305664K)] [ParOldGen: 698978K->698978K(699392K)] 961122K->960816K(1005056K), [Metaspace: 4137K->4137K(1056768K)], 0.3243960 secs] [Times: user=2.34 sys=0.00, real=0.32 secs] 
25.516: [Full GC (Ergonomics) [PSYoungGen: 262144K->261943K(305664K)] [ParOldGen: 698978K->698978K(699392K)] 961122K->960922K(1005056K), [Metaspace: 4137K->4137K(1056768K)], 0.3232164 secs] [Times: user=2.34 sys=0.00, real=0.32 secs] 
25.840: [Full GC (Ergonomics) [PSYoungGen: 262144K->262014K(305664K)] [ParOldGen: 698978K->698978K(699392K)] 961122K->960993K(1005056K), [Metaspace: 4137K->4137K(1056768K)], 0.3243433 secs] [Times: user=2.41 sys=0.00, real=0.31 secs] 
26.167: [Full GC (Ergonomics) [PSYoungGen: 262144K->262059K(305664K)] [ParOldGen: 698978K->698978K(699392K)] 961122K->961038K(1005056K), [Metaspace: 4137K->4137K(1056768K)], 0.3267650 secs] [Times: user=2.52 sys=0.00, real=0.32 secs] 
26.494: [Full GC (Ergonomics) [PSYoungGen: 262144K->262089K(305664K)] [ParOldGen: 698978K->698978K(699392K)] 961122K->961068K(1005056K), [Metaspace: 4137K->4137K(1056768K)], 0.3242937 secs] [Times: user=2.28 sys=0.00, real=0.33 secs] 
26.818: [Full GC (Ergonomics) [PSYoungGen: 262144K->262108K(305664K)] [ParOldGen: 698978K->698978K(699392K)] 961122K->961087K(1005056K), [Metaspace: 4137K->4137K(1056768K)], 0.3232308 secs] [Times: user=2.41 sys=0.00, real=0.32 secs] 
27.141: [Full GC (Ergonomics) [PSYoungGen: 262144K->262143K(305664K)] [ParOldGen: 698978K->698978K(699392K)] 961122K->961122K(1005056K), [Metaspace: 4137K->4137K(1056768K)], 0.3219070 secs] [Times: user=2.36 sys=0.00, real=0.32 secs] 
27.463: [Full GC (Ergonomics) [PSYoungGen: 262144K->262143K(305664K)] [ParOldGen: 698978K->698978K(699392K)] 961122K->961122K(1005056K), [Metaspace: 4137K->4137K(1056768K)], 0.3226445 secs] [Times: user=2.28 sys=0.00, real=0.32 secs] 
27.786: [Full GC (Ergonomics) [PSYoungGen: 262144K->262143K(305664K)] [ParOldGen: 698991K->698991K(699392K)] 961135K->961135K(1005056K), [Metaspace: 4137K->4137K(1056768K)], 0.3227762 secs] [Times: user=2.39 sys=0.00, real=0.32 secs] 
28.109: [Full GC (Ergonomics) [PSYoungGen: 262144K->262143K(305664K)] [ParOldGen: 698991K->698991K(699392K)] 961135K->961135K(1005056K), [Metaspace: 4137K->4137K(1056768K)], 0.3238081 secs] [Times: user=2.47 sys=0.00, real=0.32 secs] 
28.433: [Full GC (Ergonomics) [PSYoungGen: 262144K->262143K(305664K)] [ParOldGen: 699001K->699000K(699392K)] 961145K->961144K(1005056K), [Metaspace: 4137K->4137K(1056768K)], 0.3235574 secs] [Times: user=2.50 sys=0.00, real=0.32 secs] 
28.757: [Full GC (Ergonomics) [PSYoungGen: 262143K->262143K(305664K)] [ParOldGen: 699000K->699000K(699392K)] 961144K->961144K(1005056K), [Metaspace: 4137K->4137K(1056768K)], 0.3226128 secs] [Times: user=2.39 sys=0.00, real=0.32 secs] 
29.080: [Full GC (Ergonomics) [PSYoungGen: 262144K->262143K(305664K)] [ParOldGen: 699013K->699013K(699392K)] 961157K->961156K(1005056K), [Metaspace: 4137K->4137K(1056768K)], 0.3250525 secs] [Times: user=2.48 sys=0.00, real=0.32 secs] 
29.405: [Full GC (Ergonomics) [PSYoungGen: 262144K->262143K(305664K)] [ParOldGen: 699025K->699025K(699392K)] 961169K->961168K(1005056K), [Metaspace: 4137K->4137K(1056768K)], 0.3231581 secs] [Times: user=2.36 sys=0.00, real=0.32 secs] 
29.728: [Full GC (Ergonomics) [PSYoungGen: 262144K->262143K(305664K)] [ParOldGen: 699025K->699025K(699392K)] 961169K->961168K(1005056K), [Metaspace: 4137K->4137K(1056768K)], 0.3235217 secs] [Times: user=2.28 sys=0.02, real=0.33 secs] 
30.052: [Full GC (Ergonomics) [PSYoungGen: 262144K->262143K(305664K)] [ParOldGen: 699025K->699024K(699392K)] 961169K->961168K(1005056K), [Metaspace: 4137K->4137K(1056768K)], 0.3228587 secs] [Times: user=2.39 sys=0.00, real=0.32 secs] 
30.375: [Full GC (Ergonomics) [PSYoungGen: 262144K->262143K(305664K)] [ParOldGen: 699037K->699037K(699392K)] 961181K->961181K(1005056K), [Metaspace: 4137K->4137K(1056768K)], 0.3238961 secs] [Times: user=2.48 sys=0.00, real=0.32 secs] 
30.699: [Full GC (Ergonomics) [PSYoungGen: 262143K->262143K(305664K)] [ParOldGen: 699049K->699048K(699392K)] 961193K->961192K(1005056K), [Metaspace: 4137K->4137K(1056768K)], 0.3231289 secs] [Times: user=2.38 sys=0.02, real=0.32 secs] 
31.022: [Full GC (Ergonomics) [PSYoungGen: 262144K->262143K(305664K)] [ParOldGen: 699058K->699057K(699392K)] 961202K->961201K(1005056K), [Metaspace: 4137K->4137K(1056768K)], 0.3244521 secs] [Times: user=2.27 sys=0.00, real=0.32 secs] 
31.347: [Full GC (Ergonomics) [PSYoungGen: 262143K->262143K(305664K)] [ParOldGen: 699069K->699069K(699392K)] 961213K->961213K(1005056K), [Metaspace: 4137K->4137K(1056768K)], 0.3238127 secs] [Times: user=2.39 sys=0.00, real=0.33 secs] 
31.671: [Full GC (Ergonomics) [PSYoungGen: 262143K->262143K(305664K)] [ParOldGen: 699081K->699081K(699392K)] 961225K->961225K(1005056K), [Metaspace: 4138K->4138K(1056768K)], 0.3237949 secs] [Times: user=2.44 sys=0.00, real=0.32 secs] 
31.995: [Full GC (Ergonomics) [PSYoungGen: 262144K->262143K(305664K)] [ParOldGen: 699081K->699081K(699392K)] 961225K->961225K(1005056K), [Metaspace: 4138K->4138K(1056768K)], 0.3241023 secs] [Times: user=2.38 sys=0.00, real=0.32 secs] 
32.319: [Full GC (Ergonomics) [PSYoungGen: 262144K->262143K(305664K)] [ParOldGen: 699093K->699093K(699392K)] 961237K->961237K(1005056K), [Metaspace: 4138K->4138K(1056768K)], 0.3235538 secs] [Times: user=2.03 sys=0.00, real=0.33 secs] 
32.643: [Full GC (Ergonomics) [PSYoungGen: 262144K->262143K(305664K)] [ParOldGen: 699105K->699105K(699392K)] 961249K->961249K(1005056K), [Metaspace: 4138K->4138K(1056768K)], 0.3271096 secs] [Times: user=2.48 sys=0.00, real=0.33 secs] 
32.970: [Full GC (Ergonomics) [PSYoungGen: 262144K->262143K(305664K)] [ParOldGen: 699115K->699114K(699392K)] 961259K->961258K(1005056K), [Metaspace: 4138K->4138K(1056768K)], 0.3231443 secs] [Times: user=2.36 sys=0.00, real=0.32 secs] 
33.294: [Full GC (Ergonomics) [PSYoungGen: 262143K->262143K(305664K)] [ParOldGen: 699114K->699114K(699392K)] 961258K->961258K(1005056K), [Metaspace: 4138K->4138K(1056768K)], 0.3230754 secs] [Times: user=2.48 sys=0.00, real=0.32 secs] 
33.617: [Full GC (Ergonomics) [PSYoungGen: 262144K->262144K(305664K)] [ParOldGen: 699126K->699126K(699392K)] 961270K->961270K(1005056K), [Metaspace: 4138K->4138K(1056768K)], 0.3237008 secs] [Times: user=2.39 sys=0.00, real=0.32 secs] 
33.941: [Full GC (Ergonomics) [PSYoungGen: 262144K->262143K(305664K)] [ParOldGen: 699137K->699136K(699392K)] 961281K->961280K(1005056K), [Metaspace: 4138K->4138K(1056768K)], 0.3235443 secs] [Times: user=2.34 sys=0.00, real=0.32 secs] 
34.265: [Full GC (Ergonomics) [PSYoungGen: 262143K->262143K(305664K)] [ParOldGen: 699148K->699148K(699392K)] 961292K->961292K(1005056K), [Metaspace: 4138K->4138K(1056768K)], 0.3230637 secs] [Times: user=2.47 sys=0.01, real=0.32 secs] 
34.588: [Full GC (Ergonomics) [PSYoungGen: 262143K->262143K(305664K)] [ParOldGen: 699160K->699160K(699392K)] 961304K->961304K(1005056K), [Metaspace: 4138K->4138K(1056768K)], 0.3236839 secs] [Times: user=2.41 sys=0.00, real=0.33 secs] 
34.912: [Full GC (Ergonomics) [PSYoungGen: 262144K->262144K(305664K)] [ParOldGen: 699160K->699160K(699392K)] 961304K->961304K(1005056K), [Metaspace: 4138K->4138K(1056768K)], 0.3223579 secs] [Times: user=2.36 sys=0.00, real=0.32 secs] 
35.234: [Full GC (Ergonomics) [PSYoungGen: 262144K->262143K(305664K)] [ParOldGen: 699171K->699171K(699392K)] 961315K->961315K(1005056K), [Metaspace: 4138K->4138K(1056768K)], 0.3234053 secs] [Times: user=2.34 sys=0.00, real=0.32 secs] 
35.558: [Full GC (Ergonomics) [PSYoungGen: 262144K->262144K(305664K)] [ParOldGen: 699171K->699171K(699392K)] 961315K->961315K(1005056K), [Metaspace: 4138K->4138K(1056768K)], 0.3235444 secs] [Times: user=2.39 sys=0.00, real=0.32 secs] 
35.881: [Full GC (Ergonomics) [PSYoungGen: 262144K->262143K(305664K)] [ParOldGen: 699183K->699182K(699392K)] 961327K->961326K(1005056K), [Metaspace: 4138K->4138K(1056768K)], 0.3225447 secs] [Times: user=2.41 sys=0.00, real=0.32 secs] 
36.204: [Full GC (Ergonomics) [PSYoungGen: 262144K->262144K(305664K)] [ParOldGen: 699194K->699194K(699392K)] 961338K->961338K(1005056K), [Metaspace: 4138K->4138K(1056768K)], 0.3241718 secs] [Times: user=2.39 sys=0.00, real=0.32 secs] 
36.529: [Full GC (Ergonomics) [PSYoungGen: 262144K->262144K(305664K)] [ParOldGen: 699206K->699131K(699392K)] 961350K->961275K(1005056K), [Metaspace: 4138K->4138K(1056768K)], 0.3644607 secs] [Times: user=2.66 sys=0.00, real=0.36 secs] 
36.894: [Full GC (Ergonomics) [PSYoungGen: 262144K->262144K(305664K)] [ParOldGen: 699148K->699131K(699392K)] 961292K->961275K(1005056K), [Metaspace: 4161K->4161K(1056768K)], 0.3240179 secs] [Times: user=2.47 sys=0.00, real=0.33 secs] 
37.218: [Full GC (Ergonomics) [PSYoungGen: 262144K->262144K(305664K)] [ParOldGen: 699134K->699133K(699392K)] 961278K->961277K(1005056K), [Metaspace: 4162K->4162K(1056768K)], 0.3566176 secs] [Times: user=2.50 sys=0.00, real=0.36 secs] 
37.575: [Full GC (Ergonomics) [PSYoungGen: 262144K->0K(305664K)] [ParOldGen: 699136K->1036K(699392K)] 961280K->1036K(1005056K), [Metaspace: 4163K->4163K(1056768K)], 0.0083265 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
