
 num     #instances         #bytes  class name
----------------------------------------------
   1:          8127         682792  [C
   2:          1787         201736  java.lang.Class
   3:          7917         190008  java.lang.String
   4:           497         168296  [B
   5:           776         111112  [I
   6:          1805          93200  [Ljava.lang.Object;
   7:           482          42416  java.lang.reflect.Method
   8:           881          35240  java.util.TreeMap$Entry
   9:           954          30528  java.util.HashMap$Node
  10:           515          19288  [Ljava.lang.String;
  11:           474          18960  java.lang.ref.SoftReference
  12:           209          18496  [Ljava.util.HashMap$Node;
  13:           358          17184  java.util.HashMap
  14:           176          14080  java.lang.reflect.Constructor
  15:           398          12736  java.util.concurrent.ConcurrentHashMap$Node
  16:           518          12152  [Ljava.lang.Class;
  17:           195          10920  java.lang.invoke.MemberName
  18:           341          10912  sun.misc.FDBigInteger
  19:           255          10200  java.util.LinkedHashMap$Entry
  20:           301           9632  java.util.Hashtable$Entry
  21:           319           7656  java.lang.Long
  22:            86           7080  [Ljava.util.Hashtable$Entry;
  23:           107           6848  java.net.URL
  24:            18           6768  java.lang.Thread
  25:           200           6400  java.lang.invoke.LambdaForm$Name
  26:            94           5640  [Ljava.lang.ref.SoftReference;
  27:           137           5480  java.lang.invoke.MethodType
  28:            54           4928  [Ljava.util.WeakHashMap$Entry;
  29:           147           4704  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
  30:           143           4576  java.util.Vector
  31:           189           4536  javax.management.ImmutableDescriptor
  32:           279           4464  java.lang.Integer
  33:           108           4320  java.util.WeakHashMap$Entry
  34:            59           4248  sun.reflect.DelegatingClassLoader
  35:            25           4240  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  36:           128           4096  com.sun.jmx.mbeanserver.ConvertingMethod
  37:           256           4096  java.lang.Byte
  38:           256           4096  java.lang.Short
  39:           101           4040  java.io.ObjectStreamField
  40:           249           3984  java.lang.Object
  41:            78           3744  java.util.Hashtable
  42:           106           3392  java.lang.ref.WeakReference
  43:            79           3160  java.lang.ref.Finalizer
  44:            70           3136  [Ljava.lang.invoke.LambdaForm$Name;
  45:            65           3120  java.lang.invoke.LambdaForm
  46:            77           3080  java.security.ProtectionDomain
  47:            28           2912  [Ljava.lang.invoke.MethodHandle;
  48:            40           2880  java.lang.reflect.Field
  49:            45           2880  javax.management.openmbean.OpenMBeanAttributeInfoSupport
  50:            51           2856  sun.misc.URLClassPath$JarLoader
  51:            27           2808  java.io.ObjectStreamClass
  52:            58           2784  java.util.logging.LogManager$LoggerWeakRef
  53:            49           2744  java.lang.invoke.MethodTypeForm
  54:            49           2544  [Ljavax.management.MBeanAttributeInfo;
  55:           135           2536  [Lcom.sun.jmx.mbeanserver.MXBeanMapping;
  56:            51           2448  java.util.WeakHashMap
  57:            99           2376  java.lang.invoke.LambdaForm$NamedFunction
  58:            72           2304  java.lang.invoke.DirectMethodHandle
  59:            48           2304  javax.management.MBeanInfo
  60:            71           2272  java.security.CodeSource
  61:            70           2240  java.lang.ref.ReferenceQueue
  62:            44           2112  sun.util.locale.LocaleObjectCache$CacheEntry
  63:            87           2088  java.util.ArrayList
  64:           128           2048  java.lang.Character
  65:            27           1944  java.util.logging.Logger
  66:            60           1920  javax.management.MBeanAttributeInfo
  67:            29           1856  java.util.concurrent.ConcurrentHashMap
  68:             3           1616  [[B
  69:            40           1600  sun.management.DiagnosticCommandArgumentInfo
  70:            66           1584  java.security.Provider$ServiceKey
  71:            28           1568  sun.nio.cs.UTF_8$Encoder
  72:            48           1536  java.io.ObjectStreamClass$WeakClassKey
  73:            24           1536  java.util.jar.JarFile
  74:            16           1536  java.util.jar.JarFile$JarFileEntry
  75:            27           1512  java.security.Provider$Service
  76:            62           1488  java.util.jar.Attributes$Name
  77:            60           1440  sun.reflect.NativeConstructorAccessorImpl
  78:            59           1416  java.io.ExpiringCache$Entry
  79:            54           1384  [Ljavax.management.ObjectName$Property;
  80:             1           1376  [Lsun.misc.FDBigInteger;
  81:            43           1376  java.util.logging.LogManager$LogNode
  82:            33           1328  [J
  83:            83           1328  java.util.HashSet
  84:            32           1280  java.io.FileDescriptor
  85:            45           1240  [Ljava.io.ObjectStreamField;
  86:            31           1240  java.security.AccessControlContext
  87:            77           1232  [Ljava.security.Principal;
  88:            77           1232  java.security.ProtectionDomain$Key
  89:            72           1152  java.lang.ref.ReferenceQueue$Lock
  90:            24           1152  java.util.TreeMap
  91:            23           1104  sun.management.DiagnosticCommandInfo
  92:            33           1056  java.util.concurrent.locks.ReentrantLock$NonfairSync
  93:             1           1040  [Ljava.lang.Byte;
  94:             1           1040  [Ljava.lang.Integer;
  95:             1           1040  [Ljava.lang.Long;
  96:             1           1040  [Ljava.lang.Short;
  97:             1           1040  [[C
  98:            26           1040  javax.management.ObjectName
  99:            39           1008  [Ljavax.management.MBeanOperationInfo;
 100:            24            960  java.io.ObjectStreamClass$FieldReflectorKey
 101:            30            960  java.security.Provider$EngineDescription
 102:            60            960  sun.reflect.DelegatingConstructorAccessorImpl
 103:            39            936  javax.management.ObjectName$Property
 104:            15            840  javax.management.openmbean.ArrayType
 105:            21            840  sun.util.locale.BaseLocale$Key
 106:            11            816  [S
 107:            20            800  com.sun.jmx.mbeanserver.MXBeanSupport
 108:            25            800  java.util.zip.ZipCoder
